season,timestamp,institution,location,subject_area,review_date,url,rank,appointment,institution_clean,carnegie_basic,is_r1
2020-2021,2020-10-31T10:02:29.435,University of Southern California,California,Department of Biology,2020-12-15,https://usccareers.usc.edu/job/los-angeles/assistant-professor-of-biological-sciences/1209/17785043,Asst Prof,Tenure Track,University of Southern California,15,true
2020-2021,2020-10-31T17:55:48.309,University of Texas - Tyler,Texas,Physiology,2021-01-01,https://www.higheredjobs.com/details.cfm?JobCode=177345386&utm_source=10_30_20&utm_medium=email&utm_campaign=JobAgentEmail,Asst Prof,Tenure Track,The University of Texas at Tyler,16,false
2020-2021,2020-11-02T11:32:19.930,University of California Davis,California,Marine / Coastal Toxicology,2020-12-01,https://recruit.ucdavis.edu/JPF03865,Asst Prof,Tenure Track,University of California-Davis,15,true
2020-2021,2020-11-02T16:25:53.823,CSU Dominguez Hills,California,Eukaryotic Microbiology,2020-12-21,https://careers.csudh.edu/en-us/job/497816/assistant-professor-biology-eukaryotic-microbiologist,Asst Prof,Tenure Track,California State University-Dominguez Hills,18,false
2020-2021,2020-11-03T11:18:40.464,Chadron State College,Nebraska,Rangeland Ecology,,https://nscs.peopleadmin.com/postings/7941,Rank Open,Tenure Track,Chadron State College,19,false
2020-2021,2020-11-03T15:11:48.059,University of North Carolina Wilmington,North Carolina,Avian Field Ecologist,2020-12-06,https://jobs.uncw.edu/postings/19237,Asst Prof,Tenure Track,University of North Carolina Wilmington,16,false
2020-2021,2020-11-03T15:16:35.237,University of North Carolina Wilmington,North Carolina,Ecotoxicology,2020-12-07,https://jobs.uncw.edu/postings/19235,Asst Prof,Tenure Track,University of North Carolina Wilmington,16,false
2020-2021,2020-11-04T09:37:01.644,St. Edward's University,Texas,Terrestrial Ecologist / Plant Biologist,2020-12-01,https://stedwards.applicantpro.com/jobs/1574355.html,Asst Prof,Tenure Track,Saint Edward's University,18,false
2020-2021,2020-11-05T10:36:14.758,Mississippi State University,Mississippi,Microbial Ecology,2020-11-20,https://explore.msujobs.msstate.edu/en-us/job/500610/assistant-professor,Asst Prof,Tenure Track,Mississippi State University,15,true
2020-2021,2020-11-05T14:32:07.134,University of Connecticut,Connecticut,Ecology & Evolutionary Biology,2020-12-07,https://academicjobsonline.org/ajo/jobs/17474,Assoc / Full Prof,Tenure Track,University of Connecticut,15,true
2020-2021,2020-11-06T19:49:55.546,Colorado State University,Colorado,Integrative Vertebrate Physiologist,2020-11-30,https://jobs.colostate.edu/postings/81377,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2020-2021,2020-11-07T10:38:09.561,Mount St. Mary’s University,Maryland,Biology,,https://inside.msmary.edu/more/human-resources/employment-opportunities/faculty-positions/assistant-professor-of-biological-science.html,Asst Prof,Tenure Track,Mount St. Mary's University,19,false
2020-2021,2020-11-09T19:31:58.339,University of North Alabama,Alabama,Genetics,,https://jobs.una.edu/postings/5676,Asst Prof,Tenure Track,University of North Alabama,18,false
2020-2021,2020-11-10T12:24:06.586,University of Utah,Utah,Plant Molecular Biology / Biological Sciences,2020-12-01,https://utah.peopleadmin.com/postings/108965,Asst / Assoc Prof,Tenure Track,University of Utah,15,true
2020-2021,2020-11-10T18:13:17.431,University of Colorado Boulder,Colorado,Physical Geography,2020-12-18,https://jobs.colorado.edu/jobs/JobDetail/Assistant-Professor-of-Physical-Geography/27534?source=JB-10062,Asst Prof,Tenure Track,University of Colorado Boulder,15,true
2020-2021,2020-11-11T12:07:37.406,Virginia Union University,Virginia,Biology,,https://www.vuu.edu/Content/Uploads/vuu.edu/files/HR%20-%20Job%20Vacancies/Assistant%20Professor%20of%20Biology.pdf,Asst / Assoc Prof,Tenure Track,Virginia Union University,21,false
2020-2021,2020-11-11T19:45:14.659,Arkansas State University,Arkansas,Microbiology,2021-01-04,https://phe.tbe.taleo.net/phe02/ats/careers/v2/viewRequisition?org=ARKASTAT2&cws=40&rid=25753,Asst Prof,Tenure Track,Arkansas State University,16,false
2020-2021,2020-11-11T19:48:48.347,Idaho State University,Idaho,Microbiology,2020-11-13,https://isu.csod.com/ats/careersite/JobDetails.aspx?id=1130&site=1,Asst Prof,Tenure Track,Idaho State University,16,false
2020-2021,2020-11-11T20:32:19.484,Southeast Missouri State University,Missouri,Botany,2020-12-11,https://jobs.plantae.org/jobs/14097310/assistant-professor-botany,Asst Prof,Tenure Track,Southeast Missouri State University,18,false
2020-2021,2020-11-12T11:34:35.787,"University of North Texas, Denton",Texas,Invertebrate Biology,2020-12-01,https://jobs.untsystem.edu/postings/40650?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Asst Prof,Tenure Track,University of North Texas,15,true
2020-2021,2020-11-13T08:05:26.307,Mississippi College,Mississippi,Ecologist/Field Biologist,,https://jobs.chronicle.com/job/295465/ecologist-field-biologist-/,Asst / Assoc Prof,Tenure Track,Mississippi College,17,false
2020-2021,2020-11-13T08:08:18.005,University of Sioux Falls,South Dakota,Biologist,2020-11-29,https://jobs.chronicle.com/job/295021/assistant-associate-professor-of-biology/,Asst / Assoc Prof,Tenure Track,University of Sioux Falls,19,false
2020-2021,2020-11-13T08:11:07.783,St. Thomas Aquinas College,New York,Biology (Anatomy & Physiology),2020-12-14,https://jobs.chronicle.com/job/298492/assistant-professor-of-biology/,Asst Prof,Tenure Track,St. Thomas Aquinas College,20,false
2020-2021,2020-11-13T08:27:03.585,Governors State University,Illinois,Conservation Genetics,,https://employment.govst.edu/postings/5550,Asst Prof,Tenure Track,Governors State University,18,false
2020-2021,2020-11-13T08:29:38.622,Saint Francis University,Pennsylvania,Marine Biology,2021-01-14,https://www.francis.edu/employment/,Asst Prof,Tenure Track,Saint Francis University,18,false
2020-2021,2020-11-13T09:08:23.269,Southwestern Oklahoma State University,Oklahoma,Biology (Organismal Genetics),,https://swosu.csod.com/ux/ats/careersite/1/home/requisition/33?c=swosu,Asst Prof,Tenure Track,Southwestern Oklahoma State University,18,false
2020-2021,2020-11-14T12:07:56.789,"University of North Carolina, Wilmington",North Carolina,Plant Biology,2020-12-14,https://jobs.uncw.edu/postings/19295,Asst Prof,Tenure Track,University of North Carolina Wilmington,16,false
2020-2021,2020-11-17T23:09:38.128,South Dakota State University,South Dakota,Wildlife Ecology,2021-02-01,https://yourfuture.sdbor.edu/postings/21282,Asst Prof,Asst Prof,South Dakota State University,16,false
2020-2021,2020-11-17T23:13:30.640,University of West Alabama,Alabama,Environmental Science/Biology,,https://www.higheredjobs.com/search/details.cfm?JobCode=177357042&Title=Environmental%20Scientist,Asst Prof,Tenure Track,University of West Alabama,18,false
2020-2021,2020-11-17T23:20:36.066,Lake Superior State University,Michigan,Aquaculture,2021-01-16,https://jobs.lssu.edu/postings/2781,Asst Prof,Tenure Track,Lake Superior State University,22,false
2020-2021,2020-11-17T23:24:55.566,Mississippi State University,Mississippi,Forest Ecosystem Science,2021-01-15,https://explore.msujobs.msstate.edu/cw/en-us/job/501767?lApplicationSubSourceID=11250,Asst / Assoc Prof,Tenure Track,Mississippi State University,15,true
2020-2021,2020-11-18T17:25:24.009,San José State University,California,Physiology,2021-01-13,https://jobs.sjsu.edu/en-us/job/498106/assistant-professor-biological-sciences-physiology,Asst Prof,Tenure Track,San Jose State University,18,false
2020-2021,2020-11-18T22:42:35.970,University California Davis,California,Sustainable Aquaculture and Coastal Systems,2021-01-03,https://recruit.ucdavis.edu/JPF03893,Asst Prof,Tenure Track,University of California-Davis,15,true
2020-2021,2020-11-19T06:22:16.214,University of California Davis,California,Systems Biology,2021-01-20,https://recruit.ucdavis.edu/JPF03885,Asst Prof,Tenure Track,University of California-Davis,15,true
2020-2021,2020-11-20T15:01:38.914,Colorado State University,Colorado,Plant Biology,2020-12-13,https://www.higheredjobs.com/state/details.cfm?JobCode=177360114&Title=Plant+Biologist+Assistant+Professor&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2020-2021,2020-11-20T23:33:09.257,Brandeis University,Massachusetts,Biology,2020-12-15,https://academicjobsonline.org/ajo/jobs/17617,Asst Prof,Tenure Track,Brandeis University,15,true
2020-2021,2020-11-21T09:00:50.343,Eastern Michigan University,Michigan,Animal Physiology,2021-01-05,http://www.emich.edu/jobs,Asst Prof,Tenure Track,Eastern Michigan University,16,false
2020-2021,2020-11-24T12:42:44.258,Texas A&M,Texas,"Biological Timing, Microbiology",2020-12-15,https://apply.interfolio.com/81015,Asst / Assoc Prof,Tenure Track,Texas A & M University-College Station,15,true
2020-2021,2020-11-25T14:27:08.032,Loyola University Chicago,Illinois,Genetics/Genomics,2021-01-01,https://www.careers.luc.edu/postings/14601,Asst Prof,Tenure Track,Loyola University Chicago,16,false
2020-2021,2020-11-26T12:02:46.810,Texas A&M University - San Antonio,Texas,Animal Physiology,2020-12-08,https://careers.insidehighered.com/job/2048107/associate-professor-of-biology-animal-physiologist-/,Assoc Prof,Tenure Track,Texas A&M University-San Antonio,18,false
2020-2021,2020-11-26T12:06:25.282,Marian University,Indiana,Biology (Broad),,https://www.marian.edu/about-marian/human-resources/employment-opportunities,Asst / Assoc Prof,Tenure Track,Marian University,17,false
2020-2021,2020-11-26T12:06:25.282,Marian University,Indiana,Biology (Broad),,https://www.marian.edu/about-marian/human-resources/employment-opportunities,Asst / Assoc Prof,Tenure Track,Marian University,19,false
2020-2021,2020-12-01T11:55:13.036,St. Joseph's College,New York,Environmental or medical microbiology,2021-02-14,https://www.higheredjobs.com/faculty/details.cfm?JobCode=177364131&Title=Tenure%2DTrack%20Assistant%20Professor%20in%20Biology,Asst Prof,Tenure Track,St. Joseph's College of Nursing,10,false
2020-2021,2020-12-01T15:25:49.785,York College of Pennsylvania,Pennsylvania,Animal Physiology,2020-12-31,https://ycp.interviewexchange.com,Asst Prof,Tenure Track,York College of Pennsylvania,20,false
2020-2021,2020-12-01T15:27:21.199,Centre College,Kentucky,Biology,2021-01-04,https://apply.interfolio.com/81526,Asst / Assoc Prof,Tenure Track,Centre College,21,false
2020-2021,2020-12-02T21:01:58.101,University of Texas Rio Grande Valley,Texas,"Environmental Justice, Systems Modeling of coupled human-natural systems, Sustainable Energy, Natural Resource Economics, and Environmental Data Science",2021-01-15,https://careers.utrgv.edu/postings/26590,Rank Open,Tenure Track,The University of Texas Rio Grande Valley,16,false
2020-2021,2020-12-03T08:18:43.656,"University of California, Irvine",California,Earth System Science,2021-01-02,https://recruit.ap.uci.edu/JPF06472,Asst Prof,Tenure Track,University of California-Irvine,15,true
2020-2021,2020-12-03T12:51:11.092,Binghamton University SUNY,New York,Computational Biology,2021-01-15,https://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=126757,Asst Prof,Tenure Track,Binghamton University,15,true
2020-2021,2020-12-03T13:35:01.870,Texas A&M University-Corpus Christi,Texas,Biology (Marine Microbial Ecology),2021-02-01,http://hr.tamucc.edu/Job_Opportunities/,Asst Prof,Tenure Track,Texas A & M University-Corpus Christi,16,false
2020-2021,2020-12-03T13:45:29.770,University of Scranton,Pennsylvania,Molecular Biology,2021-01-04,https://universityofscrantonjobs.com/postings/4992,Asst Prof,Tenure Track,University of Scranton,18,false
2020-2021,2020-12-04T10:27:57.751,Maryville College,Tennessee,Cell Biology,2021-01-31,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=39737&clientkey=1064DAE0FBE4FE97CBC8BAA9499D8EE7,Asst Prof,Tenure Track,Maryville College,21,false
2020-2021,2020-12-04T17:47:46.696,University of Southern California,California,Global Environmental Change,2020-12-20,https://usccareers.usc.edu/job/los-angeles/assistant-professor-in-global-environmental-change/1209/17868768,Asst Prof,Asst Prof,University of Southern California,15,true
2020-2021,2020-12-07T15:25:00.039,Lehigh University,Pennsylvania,Evolutionary Biology,2021-02-01,https://academicjobsonline.org/ajo/jobs/17733,Asst Prof,Tenure Track,Lehigh University,16,false
2020-2021,2020-12-08T09:50:07.405,Wittenberg University,Ohio,Microbiology,2021-01-08,https://www.higheredjobs.com/institution/details.cfm?JobCode=177368963&Title=Assistant%20Professor%2C%20Biology%3A%20Microbiology%20%28tenure%2Dtrack%29,Asst Prof,Tenure Track,Wittenberg University,21,false
2020-2021,2020-12-08T10:34:26.459,Southern Utah University,Utah,Genetics,2021-01-05,https://www.applicantpro.com/openings/suu/jobs/1600550/UT-Utah/Cedar-City/Assistant-Professor-of-Biology,Asst Prof,Tenure Track,Southern Utah University,18,false
2020-2021,2020-12-08T10:39:51.511,Belmont University,Tennessee,Physiology,,https://belmont.csod.com/ats/careersite/JobDetails.aspx?site=10&id=1920,Asst Prof,Asst Prof,Belmont University,17,false
2020-2021,2020-12-08T10:47:11.625,Northern Illinois University,Illinois,Chair of Biological Sciences,2021-01-31,https://employment.niu.edu/postings/54555,Assoc / Full Prof,Tenure Track,Northern Illinois University,16,false
2020-2021,2020-12-09T17:14:03.407,WVU-TECH (Beckley),West Virginia,Biology,,https://www.higheredjobs.com/state/details.cfm?JobCode=177369798,Asst Prof,Tenure Track,West Virginia University Institute of Technology,22,false
2020-2021,2020-12-10T09:10:44.415,University of Miami,Florida,Marine Microbial Ecology,2021-01-15,https://umiami.wd1.myworkdayjobs.com/en-US/UMFaculty/job/Miami-FL/Associate-Assistant-Professor-in-Marine-Biology---Ecology_R100043423,Asst / Assoc Prof,Tenure Track,University of Miami,15,true
2020-2021,2020-12-10T15:19:08.914,Texas A&M Kingsville,Texas,Carnivore Ecology,2021-01-15,https://tamus.wd1.myworkdayjobs.com/en-US/TAMUK_External/job/Kingsville-TAMUK/Assistant-Professor-or-Associate-Professor-in-Carnivore-Ecology_R-034363,Asst / Assoc Prof,Tenure Track,Texas A & M University-Kingsville,16,false
2020-2021,2020-12-11T12:09:54.868,Penn State,Pennsylvania,Water Systems Science,2021-01-25,https://psu.wd1.myworkdayjobs.com/en-US/PSU_Academic/job/University-Park-Campus/Tenure-Track-Faculty-Position-in-Water-Systems-Science_REQ_0000009148-1,Asst Prof,Tenure Track,Pennsylvania State University-Main Campus,15,true
2020-2021,2020-12-13T11:34:37.294,Glendale Community College,California,Biology,2021-01-25,https://www.higheredjobs.com/details.cfm?JobCode=177372575&utm_source=12_13_20&utm_medium=email&utm_campaign=JobAgentEmail_Weekly,Asst Prof,Tenure Track,Glendale Community College,2,false
2020-2021,2020-12-13T11:34:37.294,Glendale Community College,California,Biology,2021-01-25,https://www.higheredjobs.com/details.cfm?JobCode=177372575&utm_source=12_13_20&utm_medium=email&utm_campaign=JobAgentEmail_Weekly,Asst Prof,Tenure Track,Glendale Community College,1,false
2020-2021,2020-12-14T12:17:18.110,Yale University,Connecticut,Molecular Cell & Developmental Biology (MCDB),2020-11-15,https://apply.interfolio.com/79012,Asst Prof,Tenure Track,Yale University,15,true
2020-2021,2020-12-14T12:51:36.212,Oklahoma State University,Oklahoma,Ecology,2021-02-15,https://apply.interfolio.com/81977,Asst Prof,Tenure Track,Oklahoma State University-Main Campus,15,true
2020-2021,2020-12-14T14:05:44.941,Fort Valley State University,Georgia,Biology,,https://fvsu.applicantpro.com/jobs/1611814.html,Asst / Assoc Prof,Tenure Track,Fort Valley State University,20,false
2020-2021,2020-12-14T19:50:02.524,University of Georgia,Georgia,Wildlife Movement Ecology,2021-02-15,https://www.ugajobsearch.com/postings/178891,Asst Prof,Tenure Track,University of Georgia,15,true
2020-2021,2020-12-15T23:27:44.405,Ohio State University - Wooster,Ohio,Forest Ecology and Restoration,2021-01-15,https://www.jobsatosu.com/postings/104153,Rank Open,Tenure Track,,,
2020-2021,2020-12-16T05:01:49.264,Albert Einstein College of Medicine,New York,Systems & Computational Biology,2021-02-06,https://www.nature.com/naturecareers/job/department-of-systems-computational-biology-and-the-cancer-center-faculty-position-albert-einstein-college-of-medicine-einstein-733300,Asst Prof,Tenure Track,Albert Einstein College of Medicine,27,false
2020-2021,2020-12-16T05:17:13.027,University of Texas at Dallas ,Texas,Biological Sciences - Microbiome,,https://jobs.utdallas.edu/postings/15179,Asst Prof,Tenure Track,The University of Texas at Dallas,15,true
2020-2021,2020-12-16T05:31:23.488,California State University San Marcos,California,Biology/Chemistry Education Research,2021-01-20,https://csm.submittable.com/submit/181280/2021-open-faculty-position-biology-chemistry-education-research,Asst Prof,Tenure Track,California State University-San Marcos,18,false
